code,description
58571,LAPS TOTAL HYSTERECT 250 GM/< W/RMVL TUBE/OVARY
58572,LAPAROSCOPY TOTAL HYSTERECTOMY UTERUS >250 GM
58573,LAPAROSCOPY TOT HYSTERECTOMY >250 G W/TUBE/OVAR
58575,LAPS TOT HYSTERECTOMY RESJ MALIGNANCY W/OMNTC
58578,UNLISTED LAPAROSCOPY PROCEDURE UTERUS
58579,UNLISTED HYSTEROSCOPY PROCEDURE UTERUS
58600,Tying or incision fallopian tubes
58605,LIG/TRNSXJ FLP TUBE ABDL/VAG POSTPARTUM SPX
58611,LIG/TRNSXJ FALOPIAN TUBE CESAREAN DEL/ABDML SURG
58615,OCCLUSION FLP TUBE DEV VAG/SUPRAPUBIC APPR
58660,LAPAROSCOPY W/LYSIS OF ADHESIONS
58661,LAPAROSCOPY W/RMVL ADNEXAL STRUCTURES
58662,LAPS FULG/EXC OVARY VISCERA/PERITONEAL SURFACE
58670,LAPAROSCOPY FULGURATION OVIDUCTS
58671,LAPAROSCOPY W/PLMT OCCLUSION DEVICE OVIDUCTS
58672,LAPAROSCOPY FIMBRIOPLASTY
58673,LAPAROSCOPY SALPINGOSTOMY
58674,LAPS ABLTJ UTERINE FIBROIDS W/INTRAOP US GDN
58679,Unlisted laparoscopic procedure on ovary
58700,Removal of the uterine tubes
58720,Removal of uterine tubes and ovaries
58740,Lysis of adhesion of ovary
58750,Tubotubal anastomosis 
58752,Tubouterine implantation 
58760,Fimbrioplasty 
58770,Salpingostomy
58800,DRAINAGE OVARIAN CYST UNI/BI SPX VAGINAL APPR
58805,DRAINAGE OVARIAN CYST UNI/BI SPX ABDOMINAL
58820,DRAINAGE OVARIAN ABSCESS VAGINAL APPR OPEN
58822,Abdominal drainage of ovarian abscess
58823,
58825,TRANSPOSITION OVARY
58900,Biopsy of ovaries
58920,Bilateral bisection of ovary
58925,Removal of ovaries
58940,Bilateral total oophorectomy
58943,OOPHORECTOMY PRTL/TOT UNI/BI OVARIAN MALIGNANCY
58950,RESCJ OVARIAN/TUBAL/PERITONEAL MALIGNANCY W/BSO
58951,RESCJ PRIM PRTL MAL W/BSO & OMNTC TAH & LMPHAD
58952,RESCJ PRIM PRTL MAL W/BSO & OMNTC RAD DEBULKING
58953,BSO W/OMENTECTOMY TAH&RAD DEBULKING DISSECTION
58954,BSO W/OMENTECTOMY TAH DEBULKING W/LMPHADECTOMY
58956,BSO W/TOT OMENTECTOMY & HYSTERECTOMY MALIGNANC
58957,RESECJ RECUR OVARIAN/TUBAL/PERITONEAL MALIGNANCY
58958,RESECTION RECRT MAL W/OMENTECTOMY PEL LMPHADEC
58960,LAPT STG/RESTG OVARIAN TUBAL/PRIM MAL 2ND LOOK
58970,Follicle puncture for retrieval of oocyte
58974,EMBRYO TRANSFER INTRAUTERINE
58976,Intrafallopian transfer of zygote
58999,Female genital system (nonobstetric) procedure
59,Distinct procedural service 
59000,AMNIOCENTESIS DIAGNOSIC
59001,AMNIOCENTESIS THER AMNIOTIC FLUID RDCTJ US GUID
59012,CORDOCENTESIS INTRAUTERINE
59015,CHORIONIC VILLUS SAMPLING
59020,Fetal contraction stress test 
59025,Fetal nonstress test
59030,Fetal scalp blood sampling 
59050,FETAL MONITORING LABOR PHYS WRITTEN REPORT
59051,FETAL MONITR LABOR PHYS WRTTN REPRT INTERPJ ONLY
59070,TRANSABDOMINAL AMNIOINFUSION W/ULTRSND GUIDANCE
59072,FETAL UMBILICAL CORD OCCLUSION W/ULTRSND GUIDNCE
59074,FETAL FLUID DRAINAGE W/ULTRASOUND GUIDANCE
59076,FETAL SHUNT PLACEMENT W/ULTRASOUND GUIDANCE
59100,HYSTEROTOMY ABDOMINAL
59120,TX ECTOPIC PREGNANCY ABDOMINAL/VAGINAL APPR
59121,Surgical treatment of tubal ectopic pregnancy
59130,TX ECTOPIC PREGNANCY ABDL PREGNANCY
59135,TX ECTOPIC PREGNANCY NTRSTL REQ TOT HYST
59136,TX ECTOPIC PREGNANCY NTRSTL PRTL RESCJ UTER
59140,TX ECTOPIC PREGNANCY CERVICAL W/EVACUATION
59150,Laparoscopic treatment of ectopic pregnancy
59151,LAPS TX ECTOPIC PREG W/SALPING&/OOPHORECTOMY
59160,CURETTAGE POSTPARTUM
59200,Insertion of cervical dilator
59300,Episiotomy or vaginal repair
59320,CERCLAGE CERVIX PREGNANCY VAGINAL
59325,CERCLAGE CERVIX PREGNANCY ABDOMINAL
59350,HYSTERORRHAPHY RUPTURED UTERUS
59400,OB CARE ANTEPARTUM VAG DLVR & POSTPARTUM
59409,Vaginal delivery
59410,VAGINAL DELIVERY ONLY W/POSTPARTUM CARE
59412,External cephalic version
59414,Delivery of placenta
59425,"Antepartum care, 4-6 visits"
59426,ANTEPARTUM CARE ONLY 7/> VISITS
59430,Postpartum care
59510,OB ANTEPARTUM CARE CESAREAN DLVR & POSTPARTUM
59514,Cesarean delivery
59515,Cesarean delivery with postpartum care
59525,Cesarean delivery with removal of uterus
59610,ROUTINE OB CARE VAG DLVRY & POSTPARTUM CARE VB
59612,VAGINAL DELIVERY AFTER CESAREAN DELIVERY
59614,VAGINAL DELIVERY & POSTPARTUM CARE VBAC
59618,ROUTINE OBSTETRICAL CARE ATTEMPTED VBAC
59620,CESAREAN DELIVERY ATTEMPTED VBAC
59622,CESAREAN DLVRY & POSTPARTUM CARE ATTEMPTED VBA
59812,Treatment of incomplete abortion
59820,TX MISSED ABORTION FIRST TRIMESTER SURGICAL
59821,TX MISSED ABORTION SECOND TRIMESTER SURGICAL
59830,TX SEPTIC ABORTION SURGICAL
59840,INDUCED ABORTION DILATION AND CURETTAGE
59841,INDUCED ABORTION DILATION & EVACUATION
59850,INDUCED ABORTION 1/> AMNIOTIC INJX W/D&C/EVACJ
59851,INDUCE ABORT 1/> AMNIOT NJXS DLVR FETUS D&C
59852,Induced abortion by amniotic fluid injections
59855,Induction of abortion by vaginal suppository
59856,INDUCED ABORT 1/> VAG SUPP DLVR FETUS D&C &/EVAC
59857,INDUCED ABORT 1/> VAG SUPPOS DLVR FETUS HYSTOT
59866,MULTIFETAL PREGNANCY REDUCTION
59870,UTERINE EVACUATION & CURETTAGE HYDATIDIFORM MOLE
59871,REMOVAL CERCLAGE SUTURE UNDER ANESTHESIA
59897,Fetal invasive procedure
59898,Unlisted laparoscopic procedure for delivery
59899,Unlisted delivery procedure
5A,
5B,
5C,
5D,
5E,
5F,
5G,
5H,
5I,
5J,
5K,
5L,
5M,
5N,
5O,
5Z,
60000,I&D THYROGLOSSAL DUCT CYST INFECTED
60001,
6005F,RATIONALE FOR LEVEL OF CARE DOCUMENTED
60100,BIOPSY THYROID PERCUTANEOUS CORE NEEDLE
6010F,DYSPHAGIA SCREENING PRIOR ORAL INTAKE
6015F,PATIENT OK FOR PER ORAL INTAKE (FOOD/MEDICATION)
60200,Excision of thyroid cyst
6020F,NOTHING BY MOUTH ORDERED
60210,Unilateral partial thyroid lobectomy
60212,PRTL THYROID LOBEC UNI W/CONTRATLAT STOT LOBEC
60220,Unilateral total thyroid lobectomy
60225,TOTAL THYROID LOBEC UNI W/CONTRALAT STOT LOBEC
60240,Total thyroidectomy
60252,THYROIDECTOMY TOTAL/SUBTOTAL LMTD NECK DISSECT
60254,THYROIDECTOMY TOTAL/SUBTOTAL RAD NECK DISSECT
60260,Removal of remaining thyroid tissue
60270,Thyroidectomy by transthoracic approach
60271,Thyroidectomy by cervical approach
60280,Excision of thyroglossal duct cyst
60281,Excision of recurrent thyroglossal duct cyst
60300,Injection of thyroid cyst
6030F,ALL ELEM OF MAX STERILE BARRIER TECHNQ FLWD
6040F,USE APPROP RAD DOSE RDXN DEV/MAN TECHS DOCD
6045F,RAD EXPOS/TIME IN LAST RPRT FLUORO PRXD DOCD
60500,Parathyroidectomy
60502,Re-exploration of parathyroid
60505,PARATHYRDEC/EXPL PARATHYR MEDSTNL STERNAL/TTHRC
60512,Autotransplantation of parathyroid
60520,Total thymectomy by transcervical approach
60521,Total thymectomy by transthoracic approach
60522,THYMECTOMY PRTL/TOT RAD MEDSTNL DSJ SPX
60540,Partial adrenalectomy by dorsal approach
60545,ADRENALECTOMY EXPL W/EXC RETROPERTINEAL TUMOR
60600,Excision of carotid body tumor
60605,Removal of carotid artery and tumor
60650,LAPAROSCOPY ADRENALECTOMY PRTL/COMPL TABDL
60659,Endocrine system procedure using an endoscope
60699,Endocrine system procedure
6070F,PATIENT QUERIED COUNSELED RE AED SIDE EFFECTS
6080F,PATIENT QUERIED ABOUT FALLS
6090F,PATIENT SAFETY COUNSEL DISEASE STAGE APPROPRIATE
61000,SUBDURAL TAP FONTANELLE/SUTUR INFANT UNI/BI INIT
61001,SUBDURAL TAP FONTANELLE/SUTUR INFANT UNI/BI SBSQ
6100F,VERIFY CORRECT PT SITE PXD DOCUMENTED
6101F,SAFETY COUNSELING DEMENTIA PROVIDED
61020,Ventricular puncture through fontanelle
61026,VENTRICULAR PUNCTURE PREVIOUS BURR HOLE W/INJ
6102F,SAFETY COUNSELING DEMENTIA ORDERED
61050,Cisternal puncture
61055,Cisternal puncture with injection
61070,Puncture of shunt tubing for injection
61105,Twist drill hole for subdural puncture
61107,TWIST DRILL HOLE IMPLT VENTRICULAR CATH/DEVICE
61108,TWIST DRILL HOLE EVAC&/DRG SUBDURAL HEMATOMA
6110F,COUNSELING PROV RE RISKS DRIVING ALT TO DRIVING
61120,BURR HOLE VENTRICULAR PUNCTURE
61140,Trephine of skull with biopsy of brain
61150,BURR HOLE/TREPHINE W/DRG BRAIN ABSCESS/CYST
61151,BURR HOLE/TREPHINE W/SBSQ TAPPING ICRA ABSC/CST
61154,BURR HOLE W/EVAC&/DRG HEMATOMA XDRL/SDRL
61156,BURR HOLE W/ASPIR HEMATOMA/CYST INTRACEREBRAL
61210,BURR HOLE IMPLANT VENTRICULAR CATH/OTHER DEVICE
61215,INSJ SUBQ RSVR PUMP/INFUSION SYSTEM VENTRIC CATH
61250,Exploratory supratentorial trephine of skull
61253,BURR HOLE/TREPHINE INFRATENTORIAL UNI/BI
61304,Exploratory supratentorial craniotomy
61305,Exploratory infratentorial craniotomy
61312,CRANIECTOMY HMTMA SUPRATENTORIAL EXTRA/SUBDURAL
61313,CRANIECTOMY HMTMA SUPRATENTORIAL INTRACEREBRAL
61314,CRANIECTOMY HMTMA INFRATENTORIAL EXTRA/SUBDURAL
61315,CRANIECTOMY HMTMA SUPRATENTORIAL INTRACEREBRAL
61316,Insertion of bone graft onto skull
61320,CRANIECTOMY/CRANIOTMY DRG ABSCESS SUPRATENTORIAL
61321,CRANIECTOMY/CRANIOTMY DRG ABSCESS INFRATENTORIAL
61322,CRANIECT/CRANIOT W/WO DURAPLASTY W/O LOBECTOMY
61323,Decompressive craniotomy with lobectomy
61330,Incision of eye bone to reduce pressure
61332,Exploration of orbit (transcranial approach); with biopsy (Deprecated) 
61333,EXPL ORBIT TRANSCRANIAL APPROACH W/RMVL LESION
61334,Exploration and removal of foreign body of eye bone (Deprecated) 
61340,Subtemporal cranial decompression
61343,CRNEC SUBOCCIPITAL CRV LAM DCMPRN MEDULLA & CORD
61345,Cranial decompression of posterior fossa
61440,Craniotomy for section of tentorium cerebelli (separate procedure) (Deprecated) 
61450,CRNEC STPL SCTJ COMPRESSION/DCMPRN GANGLION
61458,CRNEC SOPL EXPL/DCMPRN CRNL NRV
61460,Excision of skull base to sever cranial nerve
61470,"Craniectomy, suboccipital; for medullary tractotomy (Deprecated) "
61480,"Craniectomy, suboccipital; for mesencephalic tractotomy or pedunculotomy (Deprecated) "
61490,"Craniotomy for lobotomy, including cingulotomy (Deprecated) "
61500,CRANIECTOMY W/EXCISION TUMOR/LESION SKULL
61501,CRANIECTOMY OSTEOMYELITIS
6150F,PT NOT RCVNG 1ST COURSE OF ANTI-TNF THERAPY
61510,CRANIEC TREPHINE BONE FLP BRAIN TUMOR SUPRTENTOR
61512,CRNEC TREPHINE BONE FLAP MENINGIOMA SUPRATENTOR
61514,CRNEC TREPHINE BONE FLAP BRAIN ABSC SUPRATENTOR
61516,Supratentorial craniectomy for excision of cyst
61517,IMPLTJ BRAIN INTRACAVITARY CHEMOTHERAPY AGENT
61518,CRNEC EXC BRAIN TUMOR INFRATENTORIAL/POST FOSSA
61519,CRNEC EXC TUM INFRATENTOR/POST FOSSA MENINGIOMA
61520,CRNEC TUM INFRATTL/POSTFOSSA CRBLOPNT ANGLE TUM
61521,CRNEC TUM INFRATTL/PFOSSA MIDLINE TUM BASE SKULL
61522,CRNEC INFRATNTORIAL/POST FOSSA EXC BRAIN ABSCESS
61524,Infratentorial craniectomy for excision of cyst
61526,CRNEC TRANSTEMPOR EXC CEREBELLOPONTINE ANGLE TUM
61530,CRNEC EXC CEREBELLOPNTIN ANGLE TUM MID/POSTFOSSA
61531,SUBDURAL IMPLTJ ELECTRODES SEIZURE MONITORING
61533,CRANIOT SUBDURAL IMPLT ELCTRD SEIZURE MONITORING
61534,CRANIOT EPILEPTOGENIC FOC W/O ELECTRCORTICOGRPHY
61535,CRANIOT RMVL EPID/SUBDURL ELCTRD W/O EXC TIS SPX
61536,CRANIOT EPILEPTOGENIC FOCUS W/ELECTROCORTCOGRPHY
61537,CRANIOT TEMPORAL LOBE W/O ELECTROCORTICOGRAPHY
61538,CRANIOT LOBEC TEMPORAL LOBE W/ELECTROCORTCOGRPHY
61539,CRANIOT LOBECTOMY OTH/THN TEMPORAL LOBE W/ECOG
61540,CRANIOT LOBECTOMY OTH/THN TEMPORAL LOBE W/O ECOG
61541,CRANIOTOMY TRANSECTION CORPUS CALLOSUM
61542,Craniotomy with elevation of bone flap; for total hemispherectomy (Deprecated) 
61543,CRANIOTOMY PARTIAL/SUBTOTAL HEMISPHERECTOMY
61544,CRANIOTOMY EXCISION/COAGULATION CHOROID PLEXUS
61545,CRANIOTOMY EXCISION CRANIOPHARYNGIOMA
61546,CRANIOT HYPOPHYSEC/EXC PITUITARY TUMOR ICRL APPR
61548,Excision of pituitary gland tumor
61550,CRANIECTOMY CRANIOSYNOSTOSIS 1 CRANIAL SUTURE
61552,CRANIECT CRANIOSYNOSTOSIS MULT CRANIAL SUTURES
61556,CRANIEC CRANIOSYNOSTOSIS FRONT/PARIET BONE FLAP
61557,CRANIECTOMY CRANIOSYNOSTOSIS BIFRONTAL BONE FLAP
61558,XTN CRANIECT MULTIPLE SUTURE CRANIOSYNOSTOSIS
61559,XTN CRNEC MLT SUTR CRANIOSYNOSTOSIS W/BONE GRAFT
61563,Removal of skull bone growth
61564,EXC BENIGN TUM CRANIAL BONE W/OPTIC NRV DCMPRN
61566,CRANIOTOMY SELECTIVE AMYGDALOHIPPOCAMPECTOMY
61567,CRANIOTOMY MULTIPLE SUBPIAL TRANSECTIONS W/ECOG
61570,Removal of foreign body from brain
61571,Treatment of penetrating brain wound
61575,Biopsy of brain stem or upper spinal cord
61576,TRNSRL SKUL BSE/BR STM/CORD BX/DCMP/ SPLT TONGUE
61580,CRANIOFACIAL ANT CRANIAL FOSSA W/O ORBITAL EXNTJ
61581,CRANIOFACIAL ANT CRANIAL FOSSA W/ORBITAL EXNTJ
61582,CRANFCL ANT CRANIAL FOSSA UNI/BI CRANIOT/OSTEOT
61583,CRANFCL ANT CRANIAL FOSSA UNI/BIFRNTL ELEV LOBE
61584,ORBITOCRANIAL ANT CRANIAL FOSSA W/O ORBIT EXNTJ
61585,ORBITOCRANIAL ANT CRANIAL FOSSA W/ORBITAL EXNTJ
61586,BICORONAL TRANSZYGMTC&/LEFORT I W/O BONE GRFT
61590,Removal of jaw bone to approach brain lesion
61591,INFRATEMPO MID CRANIAL FOSSA W/WO DCOMPR&/MOBI
61592,ORBITOCRNL APPR MID CRANIAL FOSSA TEMPORAL LOBE
61595,Transtemporal approach to jugular foramen
61596,Transcochlear approach to jugular foramen
61597,Transcondylar approach to jugular foramen
61598,Transpetrosal approach to clivus
61600,RESCJ/EXC LES BASE ANT CRANIAL FOSSA EXTRADURAL
61601,RESCJ/EXC LES BASE ANT CRNL FOSSA INDRL W/WO GRF
61605,RESCJ/EXC LES INFRATEMPOR FOSSA SPACE APEX XDRL
61606,RESCJ/EXC LES ITPRL FOSSA SPACE APEX IDRL W/RPR
61607,RESCJ/EXC LES PARASELLAR SINUS CLIVUS/MSB XDRL
61608,RESCJ/EXC LES PARASELLAR SINUS CLIVUS/MSB IDRL
61609,Incision or tying of carotid artery at skull base (Deprecated) 
61610,"Transection or ligation, carotid artery in cavernous sinus, with repair by anastomosis or graft (List separately in addition to code for primary procedure) (Deprecated) "
61611,Ligation of carotid artery in petrous canal
61612,"Transection or ligation, carotid artery in petrous canal; with repair by anastomosis or graft (List separately in addition to code for primary procedure) (Deprecated) "
61613,OBLTRJ CAROTID ARYSM ARTVEN CAROTID FISTULA DSJ
61615,RESCJ/EXC LES BASE POST CRNL FOSSA JUG FRMN XDRL
61616,RESCJ/EXC LES BASE PCF FORAMEN VRT BODIES IDRL
61618,SECONDARY RPR DURA CSF LEAK FREE TISSUE GRAFT
61619,SEC RPR DURA CSF LEAK LOCAL/REGIONALIZED FLAP
61623,Balloon occlusion of head or neck artery
61624,TCAT PERMANENT OCCLUSION/EMBOLIZATION PRQ CNS
61626,TCAT PERMANT OCCLUSION/EMBOLIZATION PRQ NON-CNS
61630,BALLOON ANGIOPLASTY INTRACRANIAL PERCUTANEOUS
61635,Insertion of stents in blood vessel of head
61640,BALLOON DILAT INTRACRANIAL VASOSPASM PRQ INITIAL
61641,PERQ BALO DILA IC VSPSM EA VSL SM VASC TER
61642,PERQ BALO DILA IC VSPSM EA VSL DIFF VASC TER
61645,PERQ ART TRLUML M-THROMBEC &/NFS INTRACRANIAL
61650,EVASC INTRACRANIAL PROLNG ADMN RX AGENT ART 1ST
61651,EVASC INTRACRANIAL PROLNG ADMN RX AGENT ART ADDL
61680,INTRACRANIAL ARVEN MALFRMJ SUPRATENTRL SMPL
61682,INTRACRANIAL ARVEN MALFRMJ SUPRATENTRL CMPL
61684,INTRACRANIAL ARVEN MALFRMJ INFRATENTRL SMPL
61686,INTRACRANIAL ARVEN MALFRMJ INFRATENTRL CMPL
61690,INTRACRANIAL ARVEN MALFRMJ DURAL SMPL
61692,INTRACRANIAL ARVEN MALFRMJ DURAL CMPL
61697,COMPLX INTRACRANIAL ARYSM CAROTID CIRCULATION
61698,CPLX INTRACRANIAL ARYSM VERTEBROBASILAR CRCJ
61700,SIMPLE INTRACRANIAL ARYSM CAROTID CIRCULATION
61702,SIMPLE INTRACRANIAL ARYSM VERTEBROBASILAR CRCJ
61703,ICRA CRV APPL OCCLUDING CLAMP CRV CRTD ART
61705,ARYSM VASC MALFRMJ/CRTD-OCCLUSION CRTD ART
61708,ARYSM VASC MALFRMJ/ICRA ELECTROTHROMBOSIS
61710,Injection procedure on aneurysm
61711,Connection of arteries in head
61712,
61720,CRTJ LES STRTCTC BURR GLOBUS PALLIDUS/THALAMUS
61735,CRTJ LES STRTCTC BURR SUBCORTICAL STRUX OTH/THN
61750,STEREOTACTIC BX ASPIR/EXC BURR INTRACRANIAL LES
61751,STRTCTC BX ASPIR/EXC BURR ICRA LESION W/CT&I/MR
61760,STRTCTC IMPLTJ ELTRD CEREBRUM SEIZURE MONITORING
61770,STRTCTC LOCLZJ INSJ CATH/PRB PLMT RADJ SRC
61781,STRTCTC CPTR ASSTD PX CRANIAL INTRADURAL
61782,STRTCTC CPTR ASSTD PX EXTRADURAL CRANIAL
61783,Computer-assisted spinal procedure
61790,CREATE LESION STRTCTC PRQ NEUROLYTIC GASSERIAN
61791,CREATE LES STRTCTC PRQ NEUROLYTIC TRIGEMINAL TRC
61793,
61795,
61796,STEREOTACTIC RADIOSURGERY 1 SIMPLE CRANIAL LES
61797,STRTCTC RADIOSURGERY EA ADDL CRANIAL LES SIMPLE
61798,STEREOTACTIC RADIOSURGERY 1 COMPLEX CRANIAL LES
61799,STRTCTC RADIOSURGERY EA ADDL CRANIAL LES COMPLEX
61800,APPL STRTCTC HEADFRAME STEREOTACTIC RADIOSURGERY
61850,Implantation of neurostimulator electrodes
61860,CRNEC/CRX IMPLTJ NSTIM ELTRD CERE CORTICAL
61862,
61863,STRTCTC IMPLTJ NSTIM ELTRD W/O RECORD 1ST ARRAY
61864,STRTCTC IMPLTJ NSTIM ELTRD W/O RECORD EA ARRAY
61867,STRTCTC IMPLTJ NSTIM ELTRD W/RECORD 1ST ARRAY
61868,STRTCTC IMPLTJ NSTIM ELTRD W/RECORD EA ARRAY
61870,"Craniectomy for implantation of neurostimulator electrodes, cerebellar, cortical (Deprecated) "
61875,"Craniectomy for implantation of neurostimulator electrodes, cerebellar; subcortical (Deprecated) "
61880,REVJ/RMVL INTRACRANIAL NEUROSTIMULATOR ELTRDS
61885,INSJ/RPLCMT CRANIAL NEUROSTIM PULSE GENERATOR
61886,INSJ/RPLCMT CRANIAL NEUROSTIM GENER 2/> ELTRDS
61888,REVJ/RMVL NEUROSTIMULATOR PULSE GENERATOR
62,Two Surgeons 
62000,"Elevation of depressed skull fracture, simple"
62005,ELVTN DEPRS SKL FX COMPOUND/COMMIND XDRL
62010,ELVTN DEPRS SKL FX W/RPR DURA&/DBRDMT BRN
62100,Repair of membrane covering the brain
62115,Reduction of an enlarged skull
62116,Reduction and reshaping of an enlarged skull (Deprecated) 
62117,Reduction and reshaping of an enlarged skull
62120,Repair of encephalocele of skull vault
62121,Repair of herniation of brain at skull base
62140,CRANIOPLASTY SKULL DEFECT </5 CM DIAMETER
62141,CRANIOPLASTY SKULL DEFECT >5 CM DIAMETER
62142,Removal of bone flap of skull
62143,Replacement of bone flap of skull
62145,Reshaping of skull bone defect
62146,CRANIOPLASTY W/AUTOGRAFT </ 5 CM DIAMETER
62147,CRANIOPLASTY W/AUTOGRAFT > 5 CM DIAMETER
62148,INCISE&RETRIEVAL SUBQ CRANIOPLASTY BONE GRAFT
62160,NUNDSC ICRA PLMT/RPLCMT VENTR CATH SHUNT SYS
62161,NUNDSC ICRA DSJ ADS FENESTRATION SEPTUM CSTS
62162,Drainage of brain cyst using an endoscope
62163,"Neuroendoscopy, intracranial; with retrieval of foreign body (Deprecated) "
62164,Removal of brain tumor using an endoscope
62165,NUNDSC ICRA EXC PITUITRY TUM TRNSNSL/SPHENOID
62180,Ventriculocisternostomy
62190,Creation of subdural-atrial shunt
62192,Creation of subdural-pleural shunt
62194,Irrigation of subdural catheter
62200,VENTRICULOCISTERNOSTOMY 3RD VENTRICLE
62201,VENTRICULOCISTERNOSTOMY 3RD VNTRC NEURONDSC
62220,CRTJ SHUNT VENTRICULO-ATR-JUG-AUR
62223,Creation of ventriculo-pleural shunt
62225,Irrigation of ventricular catheter
62230,Revision of cerebrospinal fluid shunt
62252,REPRGRMG PROGRAMMABLE CEREBROSPINAL SHUNT
62256,RMVL COMPL CSF SHUNT SYSTEM W/O RPLCMT SHUNT
62258,RMVL COMPLETE CSF SHUNT SYSTEM W/RPLCMT SHUNT
62263,PRQ LYSIS EPIDURAL ADHESIONS MULT SESS 2/> DAYS
62264,PRQ LYSIS EPIDURAL ADHESIONS MULT SESSIONS 1 DAY
62267,PRQ ASPIR PULPOSUS/INTERVERTEBRAL DISC/PVRT TISS
62268,Percutaneous aspiration of spinal cord cyst
62269,BIOPSY SPINAL CORD PERCUTANEOUS NEEDLE
62270,Spinal tap for diagnosis
62272,THERAPEUTIC SPINAL PUNCTURE DRAINAGE CSF
62273,Epidural injection of blood
62274,
62275,
62276,
62277,
62278,
62279,
62280,INJX/INFUSION NEUROLYTIC SUBSTANCE SUBARACHNOID
62281,INJX/INFUS NEUROLYT SUBST EPIDURAL CERV/THORACIC
62282,INJX/INFUS NEUROLYT SBST EPIDURAL LUMBAR/SACRAL
62284,INJECTION PROCEDURE MYELOGRAPHY/CT LUMBAR
62287,DCMPRN PERQ NUCLEUS PULPOSUS 1/> LEVELS LUMBAR
62288,
62289,
62290,INJECTION PX DISCOGRAPHY EACH LEVEL LUMBAR
62291,INJECTION PX DISCOGRPHY EA LVL CERVICAL/THORACIC
62292,INJECTION PX CHEMONUCLEOLYSIS 1/MLT LUMBAR
62294,NJX ARTERIAL OCCLUSION ARVEN MALFRMJ SPINAL
62298,
62302,MYELOGRAPHY VIA LUMBAR INJECTION RS&I CERVICAL
62303,MYELOGRAPHY VIA LUMBAR INJECTION RS&I THORACIC
62304,MYELOGRAPHY VIA LUMBAR INJECT RS&I LUMBOSACRAL
62305,MYELOGRAPHY VIA LUMBAR INJECTION RS&I 2+ REGIONS
62310,Placement of catheter and injection of therapeutic substance into cervical subarachnoid space (Deprecated) 
62311,Placement of catheter and injection of therapeutic substance into sacral subarachnoid space (Deprecated) 
62318,Injections and continuous infusion into upper or middle spinal canal (Deprecated) 
62319,Injections and continuous infusion into lower or sacral spinal canal (Deprecated) 
62320,NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN
62321,NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN
62322,NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN
62323,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN
62324,NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN
62325,NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN
62326,NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN
62327,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN
62328,DIAGNOSTIC LUMBAR SPINAL PUNCTURE W/FLUOR OR CT
62329,THERAPEUTIC SPINAL PNXR DRAINAGE CSF W/FLUOR/CT
62350,IMPLTJ REVJ/RPSG ITHCL/EDRL CATH PMP W/O LAM
62351,IMPLTJ REVJ/RPSG ITHCL/EDRL CATH W/LAM
62355,Removal of implanted epidural catheter
62360,IMPLTJ/RPLCMT ITHCL/EDRL DRUG NFS SUBQ RSVR
62361,IMPLTJ/RPLCMT FS NON-PRGRBL PUMP
62362,IMPLTJ/RPLCMT ITHCL/EDRL DRUG NFS PRGRBL PUMP
62365,RMVL SUBQ RSVR/PUMP INTRATHECAL/EPIDURAL INFUS
62367,ELECT ANLYS IMPLT ITHCL/EDRL PMP W/O REPRG/REFIL
62368,ELECT ANALYS IMPLT ITHCL/EDRL PUMP W/REPRGRMG
62369,ELECT ANLYS IMPLT ITHCL/EDRL PMP W/REPRG&REFIL
62370,ELEC ANLYS IMPLT ITHCL/EDRL PMP W/REPR PHYS/QHP
62380,NDSC DCMPRN SPINAL CORD 1 W/LAMOT NTRSPC LUMBAR
63,Procedure Performed on Infants less than 4 kg 
63001,LAM W/O FACETEC FORAMOT/DSKC 1/2 VRT SEG CRV
63003,LAMINECTOMY W/O FFD 1/2 VERT SEG THORACIC
63005,LAMINECTOMY W/O FFD 1/2 VERT SEG LUMBAR
63011,LAMINECTOMY W/O FFD 1/2 VERT SEG SACRAL
63012,LAMINECTOMY W/RMVL ABNORMAL FACETS LUMBAR
63015,LAMINECTOMY W/O FFD > 2 VERT SEG CERVICAL
63016,LAMINECTOMY W/O FFD > 2 VERT SEG THORACIC
63017,LAMINECTOMY W/O FFD > 2 VERT SEG LUMBAR
63020,LAMNOTMY INCL W/DCMPRSN NRV ROOT 1 INTRSPC CERVC
63030,LAMNOTMY INCL W/DCMPRSN NRV ROOT 1 INTRSPC LUMBR
63035,LAMNOTMY W/DCMPRSN NRV EACH ADDL CRVCL/LMBR
63040,LAMOT PRTL FFD EXC DISC REEXPL 1 NTRSPC CERVICAL
63042,LAMOT PRTL FFD EXC DISC REEXPL 1 NTRSPC LUMBAR
63043,LAMOT PRTL FFD EXC DISC REEXPL 1 NTRSPC EA CRV
63044,LAMOT W/PRTL FFD HRNA8 REEXPL 1 NTRSPC EA LMBR
